Eesnimi;Perenimi;Isikukood;Kasutajanimi;EPost
Karl Oskar;Aasa;02.10.1995;.;.@asutus.com
Jevgeni;Liblik;12.11.1994;.;.@asutus.com
Marge;Oras;28.05.1992;.;.@asutus.com
Eliza;Sild;25.07.1993;.;.@asutus.com
Aet;Lunin;11.12.1992;.;.@asutus.com
Keiti;Rosenberg;19.12.1999;.;.@asutus.com
Emma;Kolk;25.08.1990;.;.@asutus.com
Martin;Järv;14.03.1993;.;.@asutus.com
Merli;Sillaste;29.02.1996;.;.@asutus.com
Konstantin;Raidma;31.07.1997;.;.@asutus.com
Hannes;Hanson;22.03.1997;.;.@asutus.com
Elerin;Loorits;08.02.1995;.;.@asutus.com
Felix;Kangur;18.03.1997;.;.@asutus.com
Nadežda;Abbt;21.10.1995;.;.@asutus.com
Katri;Pihlak;27.11.1993;.;.@asutus.com
Renno;Kroon;13.09.1992;.;.@asutus.com
Rûta;Kļaviņš;31.12.1999;.;.@asutus.com
Elîza;Kalniņš;31.12.1999;.;.@asutus.com
Dārta;Bērziņš;31.12.1999;.;.@asutus.com
Šaša;Želežnjov;31.12.1999;.;.@asutus.com
